㑳憋憋	zhou4 bie1 bie1
㑳擾	zhou4 rao3
㓦劃	bo4 hua4
㔩葉	e4 ye4
㕷啦	pa1 la1
㕷噠	pa1 da2
㟏岈	han1 xia1
㥄遽	ling2 ju4
㥏墨	tian3 mo4
㩳身	song3 shen1
㲯毿	lan2 san1
㶁㶁	guo2 guo2
㶟水	lei3 shui3
䀇子	gu3 zi5
䈰箕	shao1 ji1
䈾箕	shao1 ji1
䍡𦌊	lu4 su4
䍪羯	wa4 jie2
䒷蔞	gua1 lou2
䫄外	chua4 wai4
䰀鬌	wo3 duo3
䰐鬖	lan2 san1
䰖兒	zuar3
䰰䰰	ru2 ru2
一一	yi1 yi1
一一〇	yi1 yi1 ling2
一一九	yi1 yi1 jiu3
一丁	yi1 ding1
一丁不識	yi1 ding1 bu4 shi4
一丁點	yi1 ding1 dian3
一丈差九尺	yi1 zhang4 cha1 jiu3 chi3
一丈青	yi1 zhang4 qing1
一三五不論	yi1 san1 wu3 bu4 lun4
一上	yi1 shang4
一下	yi1 xia4
一下子	yi1 xia4 zi5
一不做	yi1 bu4 zuo4
一不小心	yi1 bu5 xiao3 xin1
一不扭衆	yi1 bu4 niu3 zhong4
一不拗衆	yi1 bu4 niu4 zhong4
一不溜	yi1 bu4 liu1
一世	yi1 shi4
一世之雄	yi1 shi4 zhi1 xiong2
一世界	yi1 shi4 jie4
一世英名	yi1 shi4 ying1 ming2
一丘一壑	yi1 qiu1 yi1 huo4
一丘之貉	yi1 qiu1 zhi1 he2
一丟兒	yi1 diur1
一串珠	yi1 chuan4 zhu1
一串紅	yi1 chuan4 hong2
一串驪珠	yi1 chuan4 li2 zhu1
一丸泥	yi1 wan2 ni2
一之爲甚	yi1 zhi1 wei2 shen4
一之謂甚	yi1 zhi1 wei4 shen4
一九九五閏八月	yi1 jiu3 jiu3 wu3 run4 ba1 yue4
一乾二淨	yi1 gan1 er4 jing4
一了	yi1 liao3
一了心願	yi1 liao3 xin1 yuan4
一了百了	yi1 liao3 bai3 liao3
一了百當	yi1 liao3 bai3 dang1
一事	yi1 shi4
一事無成	yi1 shi4 wu2 cheng2
一二	yi1 er4
一二三自由日	yi1 er4 san1 zi4 you2 ri4
一二八事變	yi1 er4 ba1 shi4 bian4
一五一十	yi1 wu3 yi1 shi2
一些	yi1 xie1
一些些	yi1 xie1 xie1
一交	yi1 jiao1
一人	yi1 ren2
一人不敵衆人智	yi1 ren2 bu4 di2 zhong4 ren2 zhi4
一人之下	yi1 ren2 zhi1 xia4
一人之交	yi1 ren2 zhi1 jiao1
一人做事一人當	yi1 ren2 zuo4 shi4 yi1 ren2 dang1
一人傳十	yi1 ren2 chuan2 shi2
一人傳虛	yi1 ren2 chuan2 xu1
一人吃齋	yi1 ren2 chi1 zhai1
一人得道	yi1 ren2 de2 dao4
一人有慶	yi1 ren2 you3 qing4
一人班	yi1 ren2 ban1
一介	yi1 jie4
一介不取	yi1 jie4 bu4 qu3
一仍舊貫	yi1 reng2 jiu4 guan4
一代	yi1 dai4
一代不如一代	yi1 dai4 bu4 ru2 yi1 dai4
一代宗匠	yi1 dai4 zong1 jiang4
一代宗臣	yi1 dai4 zong1 chen2
一代巨擘	yi1 dai4 ju4 bo4
一代新人換舊人	yi1 dai4 xin1 ren2 huan4 jiu4 ren2
一代楷模	yi1 dai4 kai3 mo2
一代風流	yi1 dai4 feng1 liu2
一代鼎臣	yi1 dai4 ding3 chen2
一令	yi1 ling2
一以當十	yi1 yi3 dang1 shi2
一以貫之	yi1 yi3 guan4 zhi1
一任	yi1 ren4
一份	yi1 fen4
一伙	yi1 huo3
一似	yi1 si4
一佛出世	yi1 fo2 chu1 shi4
一併	yi1 bing4
一來	yi1 lai2
一來一往	yi1 lai2 yi1 wang3
一來二去	yi1 lai2 er4 qu4
一來照顧郎中	yi1 lai2 zhao4 gu4 lang2 zhong1
一例	yi1 li4
一依舊式	yi1 yi1 jiu4 shi4
一個	yi1 ge5
一個不小心	yi1 ge5 bu4 xiao3 xin1
一個個要着地	ge4 ge4 yao4 zhuo2 di4
一個勁兒	yi2 ge5 jier4
一個子兒	yi1 ge5 zir3
一個富貴心	yi1 ge5 fu4 gui4 xin1
一個巴掌拍不響	yi1 ge5 ba1 zhang3 pai1 bu4 xiang3
一個心眼兒	yi2 ge5 xin1 yar3
一個樣兒	yi1 ge5 yangr4
一個獵古調	yi1 ge5 lie4 gu3 diao4
一個碗內兩張匙	yi1 ge5 wan3 nei4 liang3 zhang1 chi2
一個紅臉一個白臉	yi1 ge5 hong2 lian3 yi1 ge5 bai2 lian3
一個蘿蔔一個坑兒	yi1 ge5 luo2 bo5 yi1 ge5 kengr1
一個跟斗十萬八千里	yi1 ge5 gen1 dou3 shi2 wan4 ba1 qian1 li3
一個錢打二十四個結	yi1 ge5 qian2 da3 er4 shi2 si4 ge5 jie2
一個鍋裏吃飯的	yi1 ge5 guo1 li3 chi1 fan4 de5
一個頭兩個大	yi1 ge5 tou2 liang3 ge5 da4
一個饅頭	yi1 ge5 man2 tou5
一個鼻孔出氣	yi1 ge5 bi2 kong3 chu1 qi4
一倡三歎	yi1 chang4 san1 tan4
一倡百和	yi1 chang4 bai3 he4
一偏	yi1 pian1
一偏之見	yi1 pian1 zhi1 jian4
一停兒	yi1 tingr2
一側	yi1 ce4
一傅衆咻	yi1 fu4 zhong4 xiu1
一傳十	yi1 chuan2 shi2
一價吃到飽	yi1 jia4 chi1 dao4 bao3
一償宿願	yi1 chang2 su4 yuan4
一元	yi1 yuan2
一元化	yi1 yuan2 hua4
一元大武	yi1 yuan2 da4 wu3
一元復始	yi1 yuan2 fu4 shi3
一元方程式	yi1 yuan2 fang1 cheng2 shi4
一元論	yi1 yuan2 lun4
一元酸	yi1 yuan2 suan1
一共	yi1 gong4
一兵一卒	yi1 bing1 yi1 zu2
一再	yi1 zai4
一准	yi1 zhun3
一刀	yi1 dao1
一刀一割	yi1 dao1 yi1 ge1
一刀兩斷	yi1 dao1 liang3 duan4
一刀兩段	yi1 dao1 liang3 duan4
一刀切	yi1 dao1 qie1
一刀圭	yi1 dao1 gui1
一分	yi1 fen1
