阿阿	a1 a1
阿爸	a1 ba4
阿鼻	a1 bi2
阿比	a1 bi3
阿伯	a1 bo2
阿大	a1 da4
阿達	a1 da5
阿獃	a1 dai1
阿弟	a1 di4
阿爹	a1 die1
阿斗	a1 dou3
阿堵	a1 du3
阿飛	a1 fei1
阿父	a1 fu4
阿哥	a1 ge1
阿公	a1 gong1
阿姑	a1 gu1
阿家	a1 gu1
啊哈	a1 ha1
阿吽	a1 hong1
阿訇	a1 hong1
阿洪	a1 hong2
阿環	a1 huan2
阿混	a1 hun4
阿監	a1 jian4
阿嬌	a1 jiao1
阿姊	a1 jie3
阿舅	a1 jiu4
阿拉	a1 la1
阿郎	a1 lang2
阿里	a1 li3
阿連	a1 lian2
阿魯	a1 lu3
阿媽	a1 ma1
阿馬	a1 ma3
阿瞞	a1 man2
阿曼	a1 man4
阿妹	a1 mei4
阿門	a1 men2
阿姆	a1 mu3
阿母	a1 mu3
阿嬭	a1 nai3
阿難	a1 nan2
阿娘	a1 niang2
阿奴	a1 nu2
阿旁	a1 pang2
阿片	a1 pian4
阿婆	a1 po2
阿戎	a1 rong2
阿叔	a1 shu2
阿誰	a1 shui2
阿檀	a1 tan2
阿嚏	a1 ti4
阿瓦	a1 wa3
阿翁	a1 weng1
阿咸	a1 xian2
阿香	a1 xiang1
阿小	a1 xiao3
阿兄	a1 xiong1
啊呀	a1 ya1
阿呀	a1 ya1
啊喲	a1 yao1
阿爺	a1 ye2
阿耶	a1 ye2
阿也	a1 ye3
阿姨	a1 yi2
啊唷	a1 yo1
阿哥	a4 ge5
阿者	a4 zhe3
哀哀	ai1 ai1
哀兵	ai1 bing1
挨捕	ai1 bu3
哀冊	ai1 ce4
埃塵	ai1 chen2
哀愁	ai1 chou2
挨呲	ai1 ci1
哀辭	ai1 ci2
挨次	ai1 ci4
挨打	ai1 da3
哀悼	ai1 dao4
哀弔	ai1 diao4
挨餓	ai1 e4
哀告	ai1 gao4
哀歌	ai1 ge1
挨光	ai1 guang1
哀號	ai1 hao2
哀鴻	ai1 hong2
挨戶	ai1 hu4
埃及	ai1 ji2
挨擠	ai1 ji3
哀家	ai1 jia1
挨家	ai1 jia1
挨肩	ai1 jian1
哀矜	ai1 jin1
挨近	ai1 jin4
挨靠	ai1 kao4
哀懇	ai1 ken3
哀樂	ai1 le4
哀誄	ai1 lei3
哀厲	ai1 li4
哀憐	ai1 lian2
挨罵	ai1 ma4
挨滿	ai1 man3
挨門	ai1 men2
埃滅	ai1 mie4
哀愍	ai1 min3
哀鳴	ai1 ming2
挨磨	ai1 mo2
挨磨	ai1 mo4
挨拿	ai1 na2
挨鬧	ai1 nao4
挨排	ai1 pai2
哀悽	ai1 qi1
哀戚	ai1 qi1
哀啓	ai1 qi3
哀泣	ai1 qi4
哀求	ai1 qiu2
哀榮	ai1 rong2
哀傷	ai1 shang1
挨身	ai1 shen1
哀思	ai1 si1
哀素	ai1 su4
