䰖兒	zuar3
一丟兒	yi1 diur1
一個勁兒	yi2 ge5 jier4
一個子兒	yi1 ge5 zir3
一個心眼兒	yi2 ge5 xin1 yar3
一個樣兒	yi1 ge5 yangr4
一個蘿蔔一個坑兒	yi1 ge5 luo2 bo5 yi1 ge5 kengr1
一停兒	yi1 tingr2
一口價兒	yi1 kou3 jiar4
一古腦兒	yi1 gu3 naor3
一塊兒	yi2 kuar4
一大會兒	yi2 da4 huer3
一子兒	yi2 zer3
一字兒	yi2 zer4
一字襟坎肩兒	yi2 zi4 jin1 kan3 jiar1
一就手兒	yi1 jiu4 shour3
一工兒	yi1 gongr1
一弄兒	yi1 nongr4
一忽兒	yi1 hur1
一手兒	yi1 shour3
一把死拿兒	yi1 ba3 si3 nar2
一星兒	yi1 xingr1
一星半點兒	yi4 xing1 ban4 diar3
一景兒	yi1 jingr3
一會兒	yi4 huer3
一條腿兒	yi4 tiao2 tuer3
一條藤兒	yi1 tiao2 tengr2
一條道兒走到黑	yi1 tiao2 daor4 zou3 dao4 hei1
一步一個腳印兒	yi2 bu4 yi1 ge5 jiao3 yer4
一死兒	yi2 ser3
一氣兒	yi2 qier4
一水兒	yi2 shuer3
一溜兒	yi1 liur4
一班兒	yi4 bar1
一盆火兒	yi1 pen2 huor3
一窩兒	yi1 wor1
一答一和兒	yi1 da2 yi1 her2
一股勁兒	yi4 gu3 jier4
一股腦兒	yi1 gu3 naor3
一肩兒	yi4 jiar1
一蒂兒到底	yi2 dier4 dao4 di3
一輩兒	yi2 ber4
一過眼兒	yi2 guo4 yar3
一銃子性兒	yi1 chong4 zi5 xingr4
一零兒	yi1 lingr2
一面兒官司	yi2 miar4 guan1 si5
一順兒	yi1 shunr4
一頭兒沉	yi1 tour2 chen2
一點兒	yi4 diar3
丁字兒	ding1 zer4
丁點兒	ding1 diar3
七事兒	qi1 sher4
三七兒	san1 qier1
三天兩頭兒	san1 tian1 liang3 tour2
三框闌兒	san1 kuang1 lar2
三點水兒	san1 dian3 shuer3
上人兒	shang4 rer2
上場門兒	shang4 chang2 mer2
上尖兒	shang4 jiar1
上座兒	shang4 zuor4
上歲數兒	shang4 sui4 shur5
下板兒	xia4 bar3
下腳兒	xia4 jiaor3
下飯菜兒	xia4 fan4 car4
不多一會兒工夫	bu4 duo1 yi4 huer3 gong1 fu5
不夠數兒	bu4 gou4 shur4
不對碴兒	bu4 dui4 char2
不對茆荀兒	bu2 dui4 mao3 xver3
不戴帽兒的漢子	bu4 dai4 maor4 de5 han4 zi5
不是個兒	bu4 shi4 ger4
不是樣兒	bu4 shi4 yangr4
不是玩兒的	bu2 shi4 war2 de5
不的個風兒就雨兒	bu4 de5 ge5 fengr1 jiu4 yuer3
不着領頂兒	bu4 zhuo2 ling3 dingr3
不着頭頂兒	bu4 zhuo2 tou2 dingr3
不點兒	bu4 diar3
丟下瓦磚兒	diu1 xia4 wa3 zhuar1 yi2
丟下耙兒弄掃帚	diu1 xia4 par2 nong4 sao4 zhou3
丫巴兒	ya1 bar5
中不溜兒	zhong1 bu4 liur1
串秧兒	chuan4 yangr1
主兒	zhur3
主心骨兒	zhu3 xin1 gur3
乏角兒	fa2 juer2
乖乖兒的	guai1 guar1 de5
乖性兒	guai1 xingr4
乾乾兒的	gan1 gar1 de5
乾兒	gar1
乾白兒	gan1 bar2
乾繃兒	gan1 bengr4
亂兒	lar4
亂兒媽	lar4 ma1
了兒	liaor3
事由兒	shi4 your2
二碴兒	er4 char2
二路兒	er4 lur4
二路腳兒	er4 lu4 jiaor3
五分明兒	wu3 fen1 mingr2
五花三層兒	wu3 hua1 san1 cengr2
些兒	xier1
亮兒	liangr4
亮底兒	liang4 dier3
人兒	rer2
人味兒	ren2 wer4
人影兒	ren2 yingr3
人樣兒	ren2 yangr4
人牙兒	ren2 yar2
人的名兒	ren2 de5 mingr2 shu4
人頭兒	ren2 tour2
什件兒	shi2 jiar3
仇口兒	chou2 kour3
今兒	jier1
今兒個	jier1 ge5
仗膽兒	zhang4 dar3
仰八腳兒	yang3 ba5 jiaor3
份兒飯	fer4 fan4
估堆兒	gu1 duer1
伴姑兒	ban4 gur1
佔高枝兒	zhan4 gao1 zher1
佛眼兒	fo2 yar3
作纛旗兒	zuo4 dao4 qir2
佩件兒	pei4 jiar4
使巧兒	shi3 qiaor3
使心眼兒	shi3 xin1 yar3
使絆兒	shi3 bar4
來事兒	lai2 sher4
來人兒	lai2 rer2
供月兒	gong4 yuer4
供花兒	gong4 huar1
俊龐兒	jun4 pangr2
保兒	baor3
信兒	xier4
信行兒	xin4 xingr5
倆心眼兒	lia3 xin1 yar3
倆錢兒	lia3 qiar2
個兒	ger4
倍兒	ber4
倒扁兒	dao3 biar3
倒打鑼兒	dao4 da3 luor2
倒扣針兒	dao4 kou4 zher1
倒捽毛兒	dao4 zu2 maor2
倒蹲兒	dao4 duer1
做臉兒	zuo4 lianr3
偷兒	tour1
偷嘴的貓兒性不改	tou1 zui3 de5 maor1 xing4 bu4 gai3
偷的鑼兒敲不得	tou1 de5 luor2 qiao1 bu4 de2
